time,temperature_2m_mean (°C),relative_humidity_2m_mean (%),precipitation_sum (mm),wind_speed_10m_max (km/h),wind_direction_10m_dominant (°),cloud_cover_mean (%)
2023-11-15,18.0,79,0.00,10.4,309,2
2023-11-16,18.3,77,0.00,7.9,327,52
2023-11-17,18.1,79,0.00,9.9,337,39
2023-11-18,17.6,78,0.00,9.8,337,31
2023-11-19,17.5,75,0.00,10.5,0,3
2023-11-20,17.8,69,0.00,11.2,330,1
2023-11-21,17.1,70,0.00,14.1,300,0
2023-11-22,16.7,77,0.00,9.0,257,0
2023-11-23,16.5,74,0.00,9.7,116,0
2023-11-24,16.5,81,0.00,10.9,346,24
2023-11-25,15.7,80,0.00,9.6,333,80
2023-11-26,16.7,84,0.00,9.6,78,100
2023-11-27,16.8,84,1.60,11.4,42,100
2023-11-28,16.9,82,0.00,9.2,56,17
2023-11-29,17.8,83,0.00,8.2,340,22
2023-11-30,16.2,87,11.90,17.9,85,38
2023-12-01,15.6,82,0.00,10.8,337,8
2023-12-02,15.5,81,0.00,9.5,327,0
2023-12-03,15.8,81,0.00,10.0,301,1
2023-12-04,15.4,84,0.00,9.6,34,16
2023-12-05,14.6,88,0.00,10.2,355,21
2023-12-06,14.8,80,0.00,12.0,330,0
2023-12-07,14.8,79,0.00,10.8,317,0
2023-12-08,14.5,79,0.00,10.4,279,0
2023-12-09,14.1,80,0.00,9.8,334,1
2023-12-10,13.8,75,0.00,11.0,291,11
2023-12-11,13.5,77,0.00,7.5,175,34
2023-12-12,13.4,80,0.00,8.9,84,0
2023-12-13,12.9,81,0.00,10.3,22,14
2023-12-14,13.4,78,0.00,10.0,321,81
2023-12-15,14.1,75,0.00,8.8,348,58
2023-12-16,13.0,81,0.10,9.2,27,12
2023-12-17,11.9,86,0.00,9.5,313,35
2023-12-18,12.6,76,0.00,11.4,301,0
2023-12-19,11.7,77,0.00,10.1,292,0
2023-12-20,12.2,81,0.00,10.0,284,4
2023-12-21,11.8,85,0.00,7.2,260,43
2023-12-22,11.8,91,0.00,9.7,114,99
2023-12-23,14.2,87,0.00,14.9,43,37
2023-12-24,13.5,88,0.00,11.0,315,52
2023-12-25,13.0,86,0.00,9.7,268,5
2023-12-26,13.2,86,0.00,8.4,99,46
2023-12-27,12.8,90,0.00,10.0,307,21
2023-12-28,12.1,93,0.00,10.4,134,46
2023-12-29,11.8,94,0.00,8.9,66,76
2023-12-30,10.7,92,0.00,7.2,325,83
2023-12-31,9.2,93,0.00,8.4,93,62
2024-01-01,9.5,93,0.00,6.0,283,65
2024-01-02,8.2,93,0.00,7.9,254,62
2024-01-03,7.4,92,0.00,7.9,334,64
2024-01-04,8.4,91,0.00,8.2,297,55
2024-01-05,7.7,91,0.00,6.9,314,70
2024-01-06,7.6,93,0.00,8.3,324,63
2024-01-07,7.3,94,0.00,6.6,341,75
2024-01-08,6.9,93,0.00,7.7,80,60
2024-01-09,7.4,91,0.20,6.8,18,61
2024-01-10,7.2,93,0.00,10.9,277,64
2024-01-11,7.6,92,0.00,9.0,298,58
2024-01-12,7.4,94,0.00,10.7,280,91
2024-01-13,8.5,93,0.00,7.7,53,64
2024-01-14,7.7,92,0.00,8.2,281,67
2024-01-15,6.9,93,0.00,9.8,170,86
2024-01-16,6.6,92,0.00,8.0,45,72
2024-01-17,8.4,92,0.00,6.1,55,68
2024-01-18,8.5,94,0.00,6.5,201,74
2024-01-19,8.3,93,0.00,9.2,132,61
2024-01-20,8.3,91,0.00,9.5,102,64
2024-01-21,7.4,93,0.00,10.0,271,56
2024-01-22,7.3,92,0.00,9.7,101,69
2024-01-23,7.8,90,0.00,7.7,360,39
2024-01-24,7.6,93,0.00,7.6,336,66
2024-01-25,8.2,93,0.00,8.0,4,100
2024-01-26,11.1,85,0.00,10.4,325,46
2024-01-27,11.7,82,0.00,11.6,292,35
2024-01-28,12.4,84,0.00,10.3,177,54
2024-01-29,12.5,86,0.00,10.2,54,2
2024-01-30,13.3,83,2.10,14.7,34,16
2024-01-31,13.7,88,22.60,17.9,119,55
2024-02-01,12.9,87,10.60,24.0,68,37
2024-02-02,11.2,82,0.00,11.8,2,59
2024-02-03,12.4,69,1.40,13.9,26,92
2024-02-04,12.0,84,5.10,14.1,53,59
2024-02-05,10.4,84,0.00,9.7,340,31
2024-02-06,10.9,72,0.00,11.5,315,2
2024-02-07,11.0,68,0.00,17.3,296,27
2024-02-08,12.6,58,0.00,17.7,292,0
2024-02-09,12.8,68,0.00,11.6,285,0
2024-02-10,13.2,75,0.00,8.9,357,0
2024-02-11,14.7,66,0.00,7.5,341,0
2024-02-12,14.5,72,0.00,7.5,96,84
2024-02-13,14.9,72,0.00,9.2,159,26
2024-02-14,14.3,70,0.00,11.4,287,0
2024-02-15,14.9,63,0.00,10.9,276,0
2024-02-16,14.9,66,0.00,11.1,275,0
2024-02-17,16.2,66,0.00,9.6,246,42
2024-02-18,15.9,77,0.00,21.9,102,86
2024-02-19,17.5,73,9.00,29.9,123,49
2024-02-20,15.8,83,1.20,19.1,93,18
2024-02-21,13.9,76,0.00,22.9,14,44
2024-02-22,13.4,62,0.10,11.5,354,5
2024-02-23,13.3,56,0.00,10.5,327,19
2024-02-24,13.5,56,0.00,11.9,359,18
2024-02-25,13.2,59,0.00,10.8,24,30
2024-02-26,14.0,57,0.00,11.9,1,79
2024-02-27,15.6,60,0.00,15.3,315,67
2024-02-28,15.1,64,0.00,12.8,297,0
2024-02-29,16.9,64,0.00,12.0,311,61
2024-03-01,16.8,76,7.10,19.1,70,100
2024-03-02,17.2,79,13.80,35.0,143,45
2024-03-03,12.2,47,0.00,19.1,184,0
2024-03-04,11.6,57,0.00,12.8,323,26
2024-03-05,12.7,55,0.00,10.5,310,61
2024-03-06,13.3,59,0.00,10.0,282,17
2024-03-07,15.9,59,1.60,17.9,352,28
2024-03-08,15.8,60,0.00,14.3,310,3
2024-03-09,16.7,53,0.00,15.8,301,8
2024-03-10,17.9,54,0.00,11.2,324,71
2024-03-11,17.1,66,2.10,15.5,130,55
2024-03-12,18.3,63,0.00,13.2,350,13
2024-03-13,16.5,71,0.60,17.4,25,72
2024-03-14,18.2,63,0.00,22.1,18,5
2024-03-15,18.3,49,0.00,16.5,315,3
2024-03-16,19.1,50,0.00,12.6,329,32
2024-03-17,20.1,48,0.00,14.6,331,88
2024-03-18,20.6,45,0.00,15.2,330,14
2024-03-19,21.4,47,0.00,10.6,54,8
2024-03-20,22.6,47,0.00,11.7,249,38
2024-03-21,23.5,50,0.00,17.9,136,65
2024-03-22,23.0,62,0.70,20.4,64,26
2024-03-23,23.7,51,0.00,14.2,340,60
2024-03-24,22.9,61,1.30,28.6,312,58
2024-03-25,24.0,52,0.00,16.5,305,3
2024-03-26,23.6,58,0.00,9.6,291,98
2024-03-27,23.7,67,1.20,22.8,350,99
2024-03-28,24.0,59,0.10,25.8,341,90
2024-03-29,24.4,59,0.10,17.9,1,62
2024-03-30,23.2,62,4.40,25.7,87,65
2024-03-31,21.4,60,0.00,22.3,1,20
2024-04-01,20.4,58,0.00,13.4,282,65
2024-04-02,21.6,57,0.00,9.8,274,14
2024-04-03,23.3,48,0.10,21.1,84,38
2024-04-04,23.6,44,0.00,15.7,357,42
2024-04-05,24.0,41,0.00,17.3,332,7
2024-04-06,23.2,40,0.00,16.8,321,0
2024-04-07,23.7,39,0.00,16.5,326,5
2024-04-08,24.4,39,0.00,15.5,321,3
2024-04-09,24.8,36,0.00,11.5,6,56
2024-04-10,25.2,38,0.10,21.3,64,39
2024-04-11,26.0,39,0.00,20.6,58,42
2024-04-12,26.2,41,0.00,13.4,57,50
2024-04-13,24.4,49,1.00,22.6,20,80
2024-04-14,23.1,66,4.00,15.0,47,86
2024-04-15,22.9,74,10.10,19.5,81,59
2024-04-16,23.1,68,0.00,14.4,323,26
2024-04-17,24.3,54,0.00,16.9,282,82
2024-04-18,25.3,52,0.00,24.6,30,47
2024-04-19,23.9,60,3.20,29.1,98,53
2024-04-20,23.5,61,0.10,14.0,317,6
2024-04-21,24.4,55,0.00,20.3,330,8
2024-04-22,25.1,50,0.00,15.5,346,22
2024-04-23,24.8,50,0.00,14.8,34,26
2024-04-24,25.3,48,0.00,19.8,11,10
2024-04-25,27.1,41,0.00,15.0,8,27
2024-04-26,27.1,44,1.40,26.0,1,61
2024-04-27,25.6,46,0.00,19.7,357,37
2024-04-28,25.8,47,0.00,15.6,79,53
2024-04-29,23.3,54,5.10,23.2,49,42
2024-04-30,22.5,53,0.20,35.0,336,9
2024-05-01,22.2,45,0.00,18.9,320,1
2024-05-02,25.3,36,0.00,14.8,311,1
2024-05-03,27.3,37,0.00,11.8,3,87
2024-05-04,28.8,37,0.00,19.2,353,35
2024-05-05,29.8,36,0.00,19.4,318,6
2024-05-06,30.4,33,0.00,14.3,324,2
2024-05-07,31.6,28,0.00,16.6,337,0
2024-05-08,31.5,25,0.00,13.4,314,0
2024-05-09,31.9,32,0.00,22.3,110,9
2024-05-10,31.2,39,0.00,24.2,102,52
2024-05-11,29.8,48,0.00,14.7,314,45
2024-05-12,28.5,50,1.10,21.7,40,27
2024-05-13,29.5,37,0.00,14.0,342,9
2024-05-14,30.5,30,0.00,15.6,330,1
2024-05-15,31.1,35,0.00,14.1,344,18
2024-05-16,33.0,29,0.00,17.4,25,16
2024-05-17,32.6,31,0.00,21.4,308,26
2024-05-18,33.6,28,0.00,20.5,323,14
2024-05-19,33.4,30,0.00,21.3,279,36
2024-05-20,33.2,30,0.00,13.8,323,3
2024-05-21,33.9,26,0.00,14.7,324,1
2024-05-22,34.1,30,0.00,11.2,338,1
2024-05-23,34.2,33,0.00,21.9,105,4
2024-05-24,34.1,36,0.10,22.1,83,15
2024-05-25,34.5,29,0.00,20.7,306,0
2024-05-26,35.0,28,0.00,14.8,324,1
2024-05-27,34.8,26,0.00,14.0,304,0
2024-05-28,35.1,22,0.00,13.4,325,0
2024-05-29,35.8,19,0.00,23.7,2,15
2024-05-30,35.1,19,0.00,21.1,312,1
2024-05-31,35.6,18,0.00,15.4,126,12
2024-06-01,35.8,17,0.00,16.6,286,13
2024-06-02,35.6,22,0.00,16.5,248,4
2024-06-03,36.3,21,0.00,22.6,299,18
2024-06-04,34.7,26,1.70,21.4,193,16
2024-06-05,32.3,33,0.40,27.3,83,46
2024-06-06,31.2,42,0.20,28.7,30,23
2024-06-07,31.4,40,0.10,23.1,315,30
2024-06-08,31.6,37,0.00,14.4,290,67
2024-06-09,32.8,31,0.00,17.7,289,5
2024-06-10,33.7,26,0.00,16.0,297,1
2024-06-11,34.2,25,0.00,15.3,292,3
2024-06-12,35.4,23,0.00,14.6,270,4
2024-06-13,34.9,29,0.30,36.7,262,12
2024-06-14,35.6,29,0.00,18.2,275,13
2024-06-15,35.5,30,0.00,19.7,279,8
2024-06-16,36.7,32,0.00,16.8,271,2
2024-06-17,37.4,31,0.00,18.0,258,4
2024-06-18,36.7,33,0.00,23.8,253,18
2024-06-19,36.0,36,0.30,14.5,266,26
2024-06-20,32.3,50,2.30,29.9,130,62
2024-06-21,31.2,57,0.70,18.7,126,58
2024-06-22,32.1,50,0.00,9.5,251,39
2024-06-23,33.7,41,0.00,9.8,245,4
2024-06-24,34.8,34,0.00,9.2,273,2
2024-06-25,34.5,43,0.00,14.5,200,3
2024-06-26,35.8,43,0.00,18.9,162,17
2024-06-27,32.9,61,1.60,23.9,127,21
2024-06-28,33.7,55,0.00,16.8,135,8
2024-06-29,34.2,54,0.00,11.9,122,10
2024-06-30,33.3,60,7.30,13.0,116,9
2024-07-01,33.5,63,0.90,17.4,107,37
2024-07-02,33.5,67,1.20,21.2,135,34
2024-07-03,32.0,74,3.20,27.4,130,35
2024-07-04,30.0,76,7.30,24.5,119,66
2024-07-05,30.8,73,1.00,15.5,121,45
2024-07-06,28.7,80,14.90,18.4,109,81
2024-07-07,28.6,79,16.90,16.2,125,74
2024-07-08,30.5,73,0.10,12.2,127,20
2024-07-09,31.0,71,0.20,13.2,131,13
2024-07-10,31.5,72,1.70,16.6,89,14
2024-07-11,32.5,70,0.70,12.3,275,11
2024-07-12,29.8,74,7.60,19.7,156,52
2024-07-13,29.3,73,0.10,9.2,142,22
2024-07-14,30.0,74,0.20,11.5,151,25
2024-07-15,31.5,68,0.00,8.8,104,1
2024-07-16,32.1,69,0.00,10.6,144,3
2024-07-17,32.6,70,0.70,12.6,139,11
2024-07-18,31.2,74,2.20,22.6,95,9
2024-07-19,32.6,68,0.00,9.5,103,10
2024-07-20,33.1,67,0.10,14.8,123,19
2024-07-21,32.8,68,0.00,16.6,101,22
2024-07-22,32.6,70,0.70,16.9,95,19
2024-07-23,31.6,70,0.00,20.4,98,14
2024-07-24,32.1,70,0.10,13.4,107,17
2024-07-25,31.5,72,10.50,12.6,125,51
2024-07-26,31.6,73,0.20,15.4,107,35
2024-07-27,32.3,74,1.10,16.0,107,62
2024-07-28,31.9,75,3.10,13.8,93,78
2024-07-29,29.9,83,17.50,18.4,99,75
2024-07-30,31.6,78,6.30,13.5,82,71
2024-07-31,32.3,77,26.40,14.0,210,93
2024-08-01,26.8,94,93.90,21.6,111,100
2024-08-02,29.9,81,1.20,10.5,116,33
2024-08-03,29.6,81,8.50,18.2,96,42
2024-08-04,28.9,85,30.10,13.7,109,77
2024-08-05,29.9,81,9.80,9.2,106,44
2024-08-06,30.7,75,0.40,7.9,109,35
2024-08-07,29.5,81,1.50,14.7,101,46
2024-08-08,28.8,83,1.30,14.0,104,42
2024-08-09,29.1,82,1.70,15.4,111,56
2024-08-10,28.7,85,7.00,13.8,108,89
2024-08-11,27.4,88,10.50,16.9,92,82
2024-08-12,28.1,83,0.30,9.7,109,48
2024-08-13,29.6,81,0.40,10.2,127,41
2024-08-14,30.6,77,0.60,8.7,140,30
2024-08-15,28.6,88,26.40,15.9,100,80
2024-08-16,29.1,84,16.90,15.2,90,81
2024-08-17,27.7,88,17.60,16.5,119,100
2024-08-18,28.9,85,0.00,13.7,249,87
2024-08-19,28.6,86,17.40,10.4,176,59
2024-08-20,28.8,82,2.70,11.5,156,31
2024-08-21,28.7,82,9.90,8.5,170,27
2024-08-22,29.6,80,0.10,6.5,248,13
2024-08-23,29.5,79,0.30,15.2,163,11
2024-08-24,29.4,79,2.00,23.7,99,15
2024-08-25,29.4,80,0.00,9.7,126,12
2024-08-26,29.6,80,1.70,9.7,96,42
2024-08-27,28.2,83,0.80,18.6,69,75
2024-08-28,26.7,89,27.70,13.0,89,100
2024-08-29,25.9,90,31.40,24.6,96,91
2024-08-30,27.3,83,1.30,14.8,103,57
2024-08-31,28.5,82,0.00,11.0,299,2
2024-09-01,29.7,78,0.10,6.3,255,5
2024-09-02,28.4,85,8.90,12.9,123,33
2024-09-03,26.7,90,12.90,11.0,91,86
2024-09-04,27.5,86,1.20,6.3,2,33
2024-09-05,27.2,84,2.10,13.1,107,28
2024-09-06,27.8,84,2.80,23.4,80,19
2024-09-07,27.4,82,9.10,16.1,73,20
2024-09-08,28.2,81,0.00,9.2,15,12
2024-09-09,29.3,77,0.00,6.3,290,5
2024-09-10,28.3,82,5.70,14.8,91,16
2024-09-11,28.7,81,0.20,16.5,66,4
2024-09-12,29.9,73,0.00,12.9,271,2
2024-09-13,28.9,77,0.00,13.3,150,1
2024-09-14,28.3,76,0.00,17.1,122,8
2024-09-15,28.8,70,0.00,8.4,196,7
2024-09-16,28.6,67,0.00,8.0,270,0
2024-09-17,29.1,68,0.00,10.3,224,3
2024-09-18,28.6,71,0.00,12.7,74,4
2024-09-19,27.1,75,0.40,21.9,184,59
2024-09-20,28.1,72,0.00,7.6,218,0
2024-09-21,29.0,68,0.00,8.4,193,1
2024-09-22,30.2,68,0.00,9.7,194,7
2024-09-23,31.0,66,0.00,8.8,299,1
2024-09-24,31.0,65,0.00,8.8,185,5
2024-09-25,30.3,69,0.00,8.4,111,9
2024-09-26,29.0,75,0.20,21.3,109,20
2024-09-27,28.6,76,0.00,12.8,97,12
2024-09-28,27.2,78,13.00,24.8,95,27
2024-09-29,27.8,73,0.00,7.8,54,13
2024-09-30,28.2,77,0.00,13.4,297,6
2024-10-01,29.1,75,0.00,9.3,290,0
2024-10-02,29.5,69,0.00,10.6,123,0
2024-10-03,28.5,68,0.00,7.8,105,0
2024-10-04,28.2,64,0.00,10.3,102,1
2024-10-05,26.9,67,0.30,29.3,110,19
2024-10-06,24.9,76,0.90,22.5,315,15
2024-10-07,25.6,74,0.00,8.8,330,18
2024-10-08,24.0,82,11.50,27.4,323,41
2024-10-09,24.8,67,0.00,11.1,317,4
2024-10-10,24.6,65,0.00,11.6,309,0
2024-10-11,25.0,65,0.00,13.2,282,0
2024-10-12,25.4,64,0.00,8.5,187,0
2024-10-13,24.8,66,0.00,10.3,161,0
2024-10-14,24.6,62,0.00,11.2,255,0
2024-10-15,24.4,63,0.00,10.7,259,0
2024-10-16,24.7,63,0.00,10.2,138,9
2024-10-17,24.7,63,0.00,9.7,111,0
2024-10-18,25.4,65,0.00,8.9,106,0
2024-10-19,25.8,63,0.00,8.1,100,0
2024-10-20,25.1,67,0.00,8.9,94,0
2024-10-21,24.6,69,0.00,7.7,99,0
2024-10-22,25.0,66,0.00,9.2,124,0
2024-10-23,25.0,68,0.00,14.9,327,6
2024-10-24,24.8,66,0.00,12.3,320,0
2024-10-25,24.6,66,0.00,12.8,307,0
2024-10-26,24.0,66,0.00,10.1,298,0
2024-10-27,24.3,69,0.00,8.5,97,0
2024-10-28,24.8,71,0.00,10.4,97,7
2024-10-29,25.6,68,0.00,12.5,85,4
2024-10-30,25.2,66,0.00,12.6,346,30
2024-10-31,24.3,62,0.00,13.5,302,0
2024-11-01,22.8,62,0.00,10.4,297,0
2024-11-02,22.2,66,0.00,8.8,113,12
2024-11-03,23.1,63,0.00,8.4,109,5
2024-11-04,22.5,73,0.00,9.3,12,0
2024-11-05,22.7,71,0.00,10.0,92,1
2024-11-06,23.0,72,0.00,6.8,99,0
2024-11-07,23.2,75,0.00,9.0,114,0
2024-11-08,22.5,80,0.00,8.8,85,11
2024-11-09,22.3,80,0.00,8.0,77,0
2024-11-10,22.4,79,0.00,8.7,72,1
2024-11-11,21.6,81,0.00,11.1,92,8
2024-11-12,21.6,81,0.00,9.9,18,0
2024-11-13,21.5,80,0.00,4.9,317,15
2024-11-14,20.9,80,0.00,7.2,74,56
2024-11-15,20.0,82,0.00,5.1,45,32
2024-11-16,18.8,82,0.60,19.9,353,20
2024-11-17,18.3,83,0.00,6.0,305,17
2024-11-18,18.3,70,0.00,5.8,291,15
2024-11-19,17.9,71,0.00,5.9,288,0
2024-11-20,17.8,75,0.00,6.0,294,0
2024-11-21,17.5,77,0.00,4.0,115,1
2024-11-22,17.9,74,0.00,7.2,117,10
2024-11-23,17.9,74,1.60,17.1,75,28
2024-11-24,18.3,71,0.00,10.0,10,1
2024-11-25,18.0,69,0.00,7.5,299,1
2024-11-26,17.8,69,0.00,6.0,297,0
2024-11-27,17.0,73,0.00,4.2,331,0
2024-11-28,17.2,75,0.00,4.9,106,5
2024-11-29,17.3,76,0.00,5.7,48,11
2024-11-30,17.6,71,1.40,7.6,338,22
2024-12-01,17.2,75,0.00,5.6,311,0
2024-12-02,18.1,71,0.00,6.8,315,9
2024-12-03,18.5,67,0.10,7.9,308,28
2024-12-04,17.0,55,0.00,9.0,296,0
2024-12-05,16.0,54,0.00,8.1,289,0
2024-12-06,15.2,60,0.00,8.2,289,0
2024-12-07,14.2,67,0.00,6.4,120,0
2024-12-08,12.6,68,2.30,12.4,73,39
2024-12-09,12.8,64,0.00,6.6,340,0
2024-12-10,12.5,54,0.00,8.2,315,0
2024-12-11,12.4,61,0.00,8.1,313,3
2024-12-12,12.2,66,0.00,8.5,302,1
2024-12-13,12.8,54,0.00,11.6,308,24
2024-12-14,12.2,58,0.00,7.5,289,8
2024-12-15,12.2,67,0.00,6.7,299,88
2024-12-16,11.5,73,0.00,3.9,353,0
2024-12-17,11.3,75,0.00,4.8,10,9
2024-12-18,12.1,72,0.00,5.2,324,44
2024-12-19,11.5,73,0.00,5.9,95,0
2024-12-20,12.1,73,0.00,6.2,4,0
2024-12-21,11.9,68,0.00,6.4,313,17
2024-12-22,12.3,71,0.00,7.5,108,35
2024-12-23,11.2,85,2.70,10.4,69,63
2024-12-24,12.2,75,0.00,7.4,334,0
2024-12-25,13.0,73,0.00,6.5,310,0
2024-12-26,13.3,72,0.00,6.4,322,11
2024-12-27,12.1,83,0.70,10.9,75,68
2024-12-28,12.1,87,0.00,5.9,341,34
2024-12-29,11.9,86,0.00,8.0,316,36
2024-12-30,11.3,80,0.00,6.3,286,22
2024-12-31,10.4,89,0.00,5.8,282,75
2025-01-01,10.3,92,0.00,5.4,285,76
2025-01-02,11.4,89,0.00,5.4,301,89
2025-01-03,11.5,93,0.00,5.0,9,86
2025-01-04,11.6,91,0.00,8.7,93,49
2025-01-05,11.8,92,36.60,8.1,74,32
2025-01-06,11.8,90,0.00,8.1,325,42
2025-01-07,11.9,73,0.00,8.8,291,0
2025-01-08,12.0,72,0.00,8.1,280,2
2025-01-09,10.9,88,0.00,3.8,117,25
2025-01-10,9.5,94,0.00,5.2,89,68
2025-01-11,10.3,91,0.80,9.8,74,100
2025-01-12,12.8,83,0.00,13.3,54,18
2025-01-13,12.0,80,0.00,8.0,314,0
2025-01-14,11.9,76,0.00,6.8,292,11
2025-01-15,11.5,82,0.00,5.3,74,10
2025-01-16,10.7,88,0.00,7.6,102,5
2025-01-17,11.4,86,0.00,8.6,315,66
2025-01-18,12.2,84,0.00,4.9,190,74
2025-01-19,11.2,89,0.00,6.9,24,92
2025-01-20,13.9,69,0.00,9.0,320,33
2025-01-21,13.8,71,0.00,8.7,307,4
2025-01-22,14.4,70,0.00,8.4,311,2
2025-01-23,14.5,64,0.00,9.6,304,6
2025-01-24,14.1,48,0.00,10.8,299,0
2025-01-25,13.5,51,0.00,7.6,288,0
2025-01-26,13.2,61,0.00,6.7,283,0
2025-01-27,13.7,65,0.00,7.2,277,0
2025-01-28,13.8,68,0.00,6.4,222,0
2025-01-29,14.6,70,0.00,11.2,93,19
2025-01-30,16.3,65,0.00,8.1,30,26
2025-01-31,15.6,64,0.00,7.6,81,9
2025-02-01,15.1,74,0.00,12.2,81,7
2025-02-02,14.2,77,0.00,9.3,311,31
2025-02-03,13.8,67,0.00,9.5,198,7
2025-02-04,13.8,68,0.00,9.0,16,19
2025-02-05,12.7,78,0.10,5.4,79,28
2025-02-06,13.9,62,0.00,10.4,312,1
2025-02-07,14.5,50,0.00,10.5,294,38
2025-02-08,15.6,52,0.00,7.8,294,43
2025-02-09,16.3,62,0.00,3.6,340,3
2025-02-10,16.4,68,0.20,7.7,60,22
2025-02-11,16.4,64,0.50,10.6,8,23
2025-02-12,16.8,54,0.00,11.8,316,6
2025-02-13,16.8,49,0.00,11.2,302,42
2025-02-14,17.0,53,0.00,8.8,323,51
2025-02-15,18.4,57,1.40,11.7,1,47
2025-02-16,17.8,61,0.00,8.1,133,73
2025-02-17,18.4,61,0.00,7.3,22,36
2025-02-18,18.6,58,0.00,8.9,314,23
